"STATION","NAME","DATE","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-07-12","72","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-07-13","69","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-07-14","67","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-07-15","66","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-07-16","62","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-07-17","65","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-07-18","69","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-07-19","68","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-07-20","66","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-07-21","65","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-07-22","68","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-07-23","71","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-07-24","70","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-07-25","69","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-07-26","68","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-07-27","70","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-07-28","69","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-07-29","74","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-07-30","71","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-07-31","79","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-08-01","88","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-08-02","81","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-08-03","77","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-08-04","71","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-08-05","66","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-08-06","65","55"
