"STATION","NAME","DATE","TMAX","TMIN"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-02","77","62"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-03","82","60"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-04","81","60"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-05","83","60"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-06","81","59"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-07","79","61"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-08","71","58"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-09","74","58"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-10","76","58"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-11","78","59"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-12","81","60"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-13","85","64"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-14","80","64"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-15","81","63"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-16","77","64"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-17","77","65"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-18","76","64"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-19","78","64"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-20","78","63"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-21","76","62"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-22","79","64"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-23","80","66"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-24","81","65"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-25","95","64"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-26","86","66"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-27","84","65"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-28","84","64"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-29","81","64"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-30","80","64"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-01","80","64"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-02","80","64"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-03","78","63"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-04","77","62"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-05","75","60"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-06","79","62"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-07","78","61"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-08","78","62"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-09","76","60"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-10","77","62"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-11","77","62"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-12","77","61"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-13","80","61"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-14","82","61"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-15","79","61"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-16","78","61"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-17","81","60"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-18","87","62"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-19","89","64"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-20","88","64"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-21","84","63"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-22","84","63"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-23","90","66"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-24","84","65"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-25","82","64"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-26","84","64"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-27","82","66"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-28","84","64"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-29","81","64"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-30","86","64"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-31","95","67"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-01","92","68"
